Date,Content,
14-3-42,"I reopen this diary after an interval of about 6 months, the war being once again in a new phase.

The actual date of Cripp’s departure for India was not given out, [1] but presumably he has gone by this time. Ordinary public opinion here seems gloomy about his departure. A frequent comment – “They’ve done it to get him out of the way” (which is also one of the reasons alleged on the German wireless). This is very silly and reflects the provincialism of English people who can’t grasp that India is of any importance. Better-informed people are pessimistic because the non-publication of the Governments terms to India indicates almost certainly that they are not good terms. Impossible to discover what powers Cripps has got. Those who may know will disclose nothing and one can draw hints out of them only by indirect means. Eg. I propose in my newsletters, [2] having been instructed to give Cripps a buildup, to build him up as a political extremist. This draws the warning, “Don’t go too far in that direction”, which raises the presumption that the higher-0ups haven’t much hope of full independence being granted to India.

Rumours of all descriptions flying round. Many people appear to suspect that Russia and Germany will conclude a separate peace this year. From studying the German and Russian wireless I have long come to the conclusion that the reports of Russian victories are largely phony, though, of course, the campaign has not gone according to the German plan, [I think the Russians have merely won the kind of victory that we did in the Battle of Britain – ie., staving off defeat for the time being but deciding nothing.] I don’t believe in a separate peace unless Russia is definitely knocked out, because I don’t see how either Russia or Germany can agree to relinquish the Ukraine. [On the other hand some people think (I had this, eg. From Abrams, a Baltic Russian of strong Stalinist sympathies though probably not a C.P. member) that if the Russians could get the Germans off their soil they would make a sort of undeclared peace and thereafter only keep up a sham fight.]

Rumours about Beaverbrook’s departure. [3]

Cripps insisted this as a condition of entering the Government.
Beaverbrook was got rid of because he is known to have been in contact with Goering with a view to compromise peace.
The army insisted on Beaverbrook’s removal because he was sending all the aeroplanes etc. to Russia instead of to Libya and the Far East.
I have now been in the BBC about 6 months. Shall remain in it if the political changes I foresee come off, otherwise probably not. Its atmosphere is something halfway between a girls’ school and a lunatic asylum, and all we are doing at present is useless, or slightly worse than useless. Our radio strategy is even more hopeless than our military strategy. Nevertheless one rapidly becomes propaganda-minded and develops a cunning one did not previously have. Eg. I am regularly alleging in my newsletters that the Japanese are plotting to attack Russia. I don’t believe this to be so, but the calculation is:

If the Japanese do attack Russia, we can then say “I told you so”.
If the Russians attack first, we can, having built up the picture of a Japanese plot beforehand, pretend that it was the Japanese who started it.
If no war breaks out at all, we can claim that it is because the Japanese are too frightened of Russia.
All propaganda is lies, even when one is telling the truth. I don’t think this matters so long as one knows what one is doing, and why.

[Current story:

An A.T. [4] stops a Home Guard: “Excuse me, but your front door is open”.

H.G. “Oh. And did you by any chance see a tall strong sentry guarding the door?”

A.T. “No, all I saw was an old Home Guard lying on a pair of sandbags.”

On 11.3.42 I started the rumour that beer is to be rationed, and told it to 3 different people. I shall be interested to see at what date this rumour comes back to me] 30.5.42: Never came back. So this casts no light on the way in which rumours come into being.

Talked for a little while the other day to William Hickey, [5] just back from the USA. He says morale there is appalling. Production is not getting under way and anti-British feeling of all kinds is rampant, also anti-Russian feeling, stimulated by the Catholics.",
15.3.42,"Short air raid alert about 11.30 this morning. No bombs or guns. The first time in 10 months that I had heard this sound. Inwardly rather frightened, and everyone else evidently the same, though studiously taking no notice and indeed not referring to the fact of there being a raid on until the All Clear had sounded.",
22.3.42,"Empson tells me that there is a strict ban by the Foreign Office on any suggestion that Japan is going to attack the USSR. So this subject is being studiously avoided in the Far Eastern broadcasts while being pushed all the time in the India broadcasts. They haven’t yet got onto the fact that we are saying this, we haven’t been warned and don’t officially know about the ban, and are making the best of our opportunity while it lasts. The same chaos everywhere on the propaganda front. [E.g. Horizon was nearly stopped from getting its extra paper to print copies for export on the strength of my article on Kipling (all well at the last moment because Harold Nicholson [1] and Duff Cooper [2] intervened), at the same time as the BBC asked me to write a “feature” based on the article.]

German  propaganda is inconsistent in quite a different way – ie, deliberately so, with an utter unscrupulousness in offering everything to everybody, freedom to India and a colonial empire to Spain, emancipation to the Kaffirs and stricter race laws to the Boers, etc., etc. All quite sound from a propaganda point of view in my opinion, seeing how politically ignorant the majority of people are, how uninterested in anything outside their immediate affair, and how little impressed by inconsistency. A few weeks back the NBBS [3] was actually attacking the Workers’ Challenge [Station], [4] warning people not to listen to it as it was “financed from Moscow.”

The Communists in Mexico are again chasing Victor Serge [5] and other Trotskyist refugees who got there from France, urging their expulsion, etc., etc. Just the same tactics as in Spain. Horrible depressed to see these ancient intrigues coming up again, not so much because they are morally disgusting as from the reflection; for 20 years the Comintern has used these methods and the Comintern has always and everywhere been defeated by the Fascists; therefore we, being tied to them in a species of alliance, shall be defeated with them.

Suspicion that Russia intends making a separate peace now seems widespread. Of the two, it would be easier for Russia to surrender the Ukraine, both on geographical and psychological grounds, but they obviously couldn’t give up the Caucasus oilfields without a fight. One possible development is a secret agreement between Hitler and Stalin, Hitler to keep what Russian territory he has overrun, or parts of it, but thereafter to make no further attacks but to direct his offensive southward towards the oilfields of Irak and Iran, Russia and Germany keeping up a sham war meanwhile. It appears to me that a separate peace is distinctly likelier if we do make a continental invasion this year, because if we succeed in embarrassing the Germans and drawing off a large part of their armies Russia is immediately in a much better position both to win back the occupied territories, and to bargain. I nevertheless think we ought to invade Europe if the shipping will run to it. The one thing that might stop this kind of filthy double crossing is a firm alliance between ourselves and the USSR, with war aims declared in detail. Impossible while this government rules us, and probably also while Stain remains in power: [at least only possible if we could get a different kind of government and then find some way of speaking over Stalin’s head to the Russian people].

The same feeling as one had during the Battle of France – that there is no news. This arises principally from endless newspaper-reading. [In connection with my newsletters I now read four or five morning newspapers ever day and several editions of the evening ones, besides the daily monitoring report.] The amount of new matter in each piece of print one reads is so small that one gets a general impression that nothing is happening. Besides, when things are going badly one can foresee everything. The only event that has surprise me for weeks past was Cripp’s mission to India.",
27.3.42,"News of the terms Cripps took to India supposed to be bursting tomorrow. Meanwhile only rumours, all plausible but completely incompatible with one another. The best-supported  – that India is to be offered a treaty similar to the Egyptian one. K.S.S [1] who is our fairly embittered enemy, considers this would be accepted if Indians were given the Ministries of Defence, Finance and Internal Affairs. All the Indians here, after a week or two of gloom, much more optimistic, seeming to have smelt out somehow (perhaps by studying long faces in the India Office) that the terms are not so bad after all

[Terrific debate in the House over the affaire Daily Mirror. [2] A. Bevan [3] reading numerous extracts from Morrison’s [4] own articles in the D.M., written since war started, to the amusement of Conservatives who are anti-D.M but can never resist the spectacle of two Socialists slamming one another. Cassandra [5] announces he is resigning to join the army. Prophecy he will be back in journalism within 3 months. But where shall we all be within 3 months any way?]  

Government candidate defeated (very small majority) in the Grantham by-election. The first time since the war started that this has happened, I think.

Surprise call-out of our Company of Home Guard a week or two back. IT took 4 ½ hours to assemble the Company and dish out ammunition, and would have taken them another hour to get them into their battle positions. This mainly due to the bottleneck caused by refusing to distribute ammunition but making each man come to HQ to be issued with it there. Sent a memo on this to Dr Tom Jones, [6] who has forwarded it direct to Sir Jas. Grigg. [7] In my own unit I could not get such a memo even as far as the Company Commander – or at least, could not get it attended to.

Crocuses now full out. One seems to catch glimpses of them dimly through a haze of war news.",
1.4.42,"Greatly depressed by the apparent failure of the Cripps mission.  Most of the Indians seem down in the mouth about it too. Even the ones who hate England want a solution, I think. [I believe, however, that in spite of the “take it or leave it” with which our government started off, the terms will actually be modified, perhaps in response to pressure at this end.] Some think the Russians are behind the Cripps plan and that this accounts for Cripps’s confidence in putting forward something so apparently uninviting. Since they are not in the war against Japan the Russians cannot have any official attitude about the Indian affair, but they may serve out a directive to their followers, for whom it will get round to other pro-Russians. No sign yet from the English Communist party, whose behaviour might give a clue to the Russian attitude. It is on this kind of guesswork that we have to frame our propaganda, no clear or useful directive ever being handed out from above.

Connolly wanted yesterday to quote a passage from Homage to Catalonia in his broadcast. I opened the book and came on these sentences:

“One of the most horrible features of war is that all the war-propaganda, all the screaming and lies and hatred, comes invariably from people who are not fighting…It is the same in all wars; the soldiers do the fighting, the journalists do the shouting, and no true patriot ever gets near a front line trench, except on the briefest of propaganda tours. Sometimes it is a comfort to me to think that the aeroplane is altering the conditions of war. Perhaps when the next great war comes we may see that sight unprecedented in all history, a jingo with a bullet-hole in him.” [1]

Here I am in the BC, less than 5 years after writing that. I suppose sooner or later we all write our own epitaphs.",
3.4.42,"Cripp’s decision to stay an extra week in India is taken as a good omen. Otherwise not much to be hopeful about. Gandhi is deliberately making trouble, [sending telegrams of condolence to Bose’s [1] family on the report of his death, then telegrams of congratulations when it turned out that the report was untrue. Also urging Indians not to adopt the scorched earth policy if India is invaded]. Impossible to be quite sure what his game is. Those who are anti-Gandhi allege that he has the worst kind of (Indian) capitalist interests behind him, and it is a fact that he usually seems to be staying at the mansion of some kind of millionaire [or other. This is not necessarily incompatible with his alleged saintliness. His pacifism may be genuine, however. In the bad period of 1940 he also urged non-resistance in England, should England be invaded].  I do not know whether Gandhi or Buchman [2] is the nearest equivalent to Rasputin in our time.

Anand [3] says the morale among the exile Indians here is very low. They are still inclined to think that Japan has no evil designs on India and are all talking of a spate peace with Japan. So much for their declarations of loyalty towards Russia and China. I said to A[nand] that the basic fact about nearly all Indian intellectuals is that they don’t expect independence, can’t imagine it and at heart don’t want it. They want to be permanently in opposition, suffering a painless martyrdom, and are foolish enough to imagine that they could play the same schoolboy games with Japan or Germany that they can with Britain. Somewhat to my surprise he agreed. He says that “opposition mentality” is general among them, especially among the Communists, and that Krishna Menon [4] is “longing for the moment when negations will break down”. At the same moment as they are coolly talking of betraying China be making a separate peace, they are shouting that the Chinese troops in Burma are not getting proper air support. I remarked that this was childish. A: “You cannot overestimate their childishness, George. It is fathomless”. [The question is how far the Indians here reflect the viewpoint of the intellectuals in India. They are further from the danger and have probably, like the rest of us, been infected by the peaceful atmosphere of the last 10 months, but on the other hand nearly all who remain here long become tinged with a western Socialist outlook, so that the Indian intellectuals proper are probably far worse. A. himself has not got these vices. He is genuinely anti-Fascist, and has done violence to his feelings, and probably to his reputation, by backing Britain up because he recognizes that Britain is objectively on the anti-Fascist side.]",
6.4.42,"[Yesterday had a look at the bit of the by-pass road which is being built between Uxbridge and Denham. Amazed at the enormous scale of the undertaking. West of Uxbridge is the valley of the Colne, and over this the road runs on a viaduct of brick and concrete pillars, the viaduct being I suppose ¼ mile long. After that it runs on a raised embankment. Each of these pillars is 20 feet high or thereabouts, about 15 by 10 feet thick, and there are two of them every fifteen yards or so. I should say each pillar would use 40,000 bricks, exclusive of foundations, and exclusive of the concrete running above, which must use up tons of steel and concrete for every yard of road. Stupendous quantities of steel (for reinforcing) lying about, also huge slabs of granite. Building this viaduct alone must be a job comparable, in the amount of labour it uses up, to building a good-sized warship. And the by-pass is very unlikely to be of any use till after the war, even if finished by that time. Meanwhile there is a labour shortage everywhere. Apparently the people who sell bricks are all-powerful. (Cf. the useless surface-shelters, which even when they were being put up were being put up were pronounced to be useless by everyone who knew anything about building, and the unnecessary repairs to uninhabited private houses which are going on all over London). Evidently when a scandal passes a certain magnitude it becomes invisible.]

Saw in Denham someone driving a dog-cart, in quite good trim.  ",
10.4.42,"British naval losses in the last 3 or 4 days: 2 cruisers and an aircraft carrier sunk, 1 destroyer wrecked. [1] Axis losses: 1 cruiser sunk.

From Nehru’s speech today: “Who dies if India live?” How impressed the pinks will be – and how they would snigger at “Who dies if England live?” [2]",
11.4.42,"It [1] has flopped after all. I don’t regard this as final, however. Listened-in to Cripp’s speech coming from Delhi, which we were re-broadcasting for England etc. These transmissions which we occasionally listen-in to from Delhi are our only clue as to how our own broadcasts sound in India. Always very bad quality and a great deal of background noise which it is impossible to take out in recordings. [The speech good in the earlier part and plain-speaking enough to cause, I should think, a lot of offence. In the later part it rather moved off into the breezy uplands vein.] It is a curious fact that in the more exalted passages in his speeches Cripps seems to have caught certain inflexions of voice from Churchill. This may point to the fact – which would explain his having undertaken this mission when only having such bad terms to offer – that he is at present much under Churchill’s personal influence.",
18.4.42,"No question that Cripp’s speeches etc. have caused a lot of offence, ie. in India. Outside India I doubt whether many people blame the British government for the breakdown. One trouble at the moment is the tactless utterances of Americans who for years have been blahing about “Indian freedom” and British Imperialism, and have suddenly had their eyes opened to the fact that the Indian intelligentsia don’t want independence, ie. responsibility. Nehru is making provocative speeches to the effect that all the English are the same, of whatever political party, and also trying to make trouble between Britain and the USA by alleging that the USA has done all the real fighting. At the same time he reiterates at intervals that he is not pro-Japanese and Congress will defend India to the last. The BBC thereupon picks out these passages from his speeches and broadcasts them without mentioning the anti-British passages, whereat Nehru complains (quite justly) that he has been misrepresented.

[A recent directive tells us that when one of his speeches contains both anti-British and anti-Japanese passages, we had better ignore it altogether. What a mess it all is. But I think on balance the Cripps mission has done good, because without discrediting Cripps in this country (as it so easily might have done) it has clarified the issue. Whatever is said officially, the inference the whole world will draw is that (a) the British ruling class doesn’t intend to abdicate and (b) India doesn’t want independence and therefore won’t get it, whatever the outcome of the war.

Talking to Wintringham [1] about the possible Russian attitude towards the Cripps negotiations (of course, not being in the war against Japan, they can’t have an official attitude) I said it might make things easier if as many as possible of the military instructors etc. who will later have to sent to India were Russians. One possible outcome is that India will ultimately be taken over by the USSR, and though I have never believed that the Russians would behave better in India than ourselves, they might behave differently, owing to the different economic set-up. Wintringham said that even in Spain some of the Russian delegates tended to treat the Spaniards as “natives”, and would no doubt do likewise in India. It’s very hard not to, seeing that in practice the majority of Indians are inferior to Europeans and one can’t help feeling this and, after a little while, acting accordingly.]

American opinion will soon swing back and begin putting all the blame for the Indian situation on the British, as before. It is clear from what American papers one can get hold of that anti-British feeling is in full cry and that all the Isolationists, after a momentary retirement, have re-emerged with the same slogans as before. [Father Coughlin’s paper, [2] however, has just been excluded from the mails.] What always horrifies me about American anti-British sentiment is its appalling ignorance. Ditto presumably with the Anti-American feeling in England.",
19.4.42,"Tokio bombed, or supposed to have been bombed, yesterday. [1] Hitherto this comes only from Japanese and German sources. Nowadays one takes it so much for granted that everyone is lying that a report of this kind is never believed until confirmed by both sides. Even an admission by the enemy that his capital had been bombed might for some reason or other be a lie.

[[Eileen] says that Anand remarked to her yesterday, as though it were a matter of course, that Britain would make a separate peace this year, and seemed surprised when she demurred. Of course Indians have to say this, and have been saying it ever since 1940, because it furnishes them if necessary with an excuse for being anti-war, and also because if they could allow themselves to think any good of Britain whatever their mental framework would be destroyed. Fyvel told me how in 1940, at the time when Chamberlain was still in government, he was at a meeting at which Pritt and various Indians were present. The Indians were remarking in their pseudo-Marxist way “Of course the Churchill-Chamberlain government is about to make a compromise peace”, whereat Pritt told them that Churchill would never make peace and that the only difference (then) existing in Britain was the difference between Churchill and Chamberlain.]

More and more talk about an invasion of Europe – so much so as to make one think something of the kind must be afoot, otherwise the newspapers would not risk causing disappointment by talking so much about it. Amazed by the unrealism of much of this talk. Nearly everyone seems still to think that gratitude is a factor is power politics. Two assumptions which are habitually made throughout the Left press are a. that opening up a second front is the way to stop Russia making a separate peace, and b. that the more fighting we do the more say we shall have in the final peace settlement. Few people seem to reflect that if an invasion of Europe succeeded to the point of drawing the German armies away from Russia, Stalin would have no strong motive for going on fighting [and that a sell-out of this kind would be quite in line with the Russo-German pact and the agreement which the USSR has evidently entered into with Japan]. As to the other assumption, many people talk as though the power to decide policy when a war has been won were a sort of reward for having fought well in it. Of course the people actually able to dominate affairs are those who have the most military power, cf. America at the end of the last war.

Meanwhile the two steps which could right the situation, a. a clear agreement with the USSR and a joint (and fairly detailed) declaration of war aims, and b. an invasion of Spain, are politically quite impossible under the present government.",
25.4.42,"U.S. airmen making a forced landing on Russian soil after bombing Tokio have been interned. According to the Japanese wireless the Russians are expediting the movement of Japanese agents across Russia from Sweden (and hence from Germany) to Japan. [If true, this is a new development, this traffic having been stopped at the time when Germany attacked the USSR.]

The mystery of Subhas Chandra Bose’s whereabouts remains impenetrable. [The leading facts are: –

i.                     At the time of his disappearance, the British government declared that he had gone to Berlin.
ii.                   A voice, identified as his, broadcasts on the Free India radio (Germany).
iii.                  The Italian radio has claimed at least once that Bose is in Japanese territory.
iv.                 Indians here seem on the whole to think that he is in Japanese territory.
v.                   Escape into Japanese territory would have been physically easier than escape in the other direction, though the latter would not have been impossible.
vi.                 The Vichy report of his death in a plane accident between Bangkok and Tokio, though almost certainly mistaken, seemed to suggest that Vichy quarters took it for granted that he was in Japanese territory.
vii.                According to engineers it would not be impossible to broadcast his voice scrambled from Tokio to Berlin and there unscramble and rebroadcast it.
There are innumerable other considerations and endless rumours.] The two questions hardest to answer are: If Bose is in Japanese territory, why this elaborate effort to make it appear that he is in Berlin, where he is comparatively ineffectual? If Bose is in German territory, how did he get there? Of course it is quite reasonably likely that he got there with Russian connivance. Then the question arises, if the Russians had previously passed Bose through, did they afterwards tip us off when they came into the war on our side? To know the answer to that would give one useful clue to their attitude towards ourselves. Of course one can get no information about questions of that type here. One has to do one’s propaganda in the dark, discreetly sabotaging the policy directives when they seem more than usually silly. [1]

To judge from their wireless, the Germans believe in a forthcoming invasion, either from France or Norway. What a chance to have a go at Spain! As, however, they have fixed a date of it (May 1st) they may merely be discussing the possibility of invasion in order to jeer when it does not come off. No sign here of any invasion preparations – no rumours about assembly of troops or boats, re-arrangement of railway schedules etc. The most positive sign is Beaverbrook’s pro-invasion speech in the USA.

[There seems to be no news whatever. It must be months since the papers were so empty.]

Struck by the mediocre physique and poor general appearance of the American soldiers one seems from time to time in the street. The officers usually better than the men, however.",
